symbol,direction,indicator,htf,param_desc,entry_time,entry_price,exit_time,exit_price,stake,fees,pnl,equity_after,reason,size_units,Zeit,ExitZeit,Entry,ExitPreis
TNSR/USDC,Short,jma,4h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-07-19T08:00:00+02:00,0.1453,2025-07-19T16:00:00+02:00,0.1404,1600.0,3.2,50.75732966276685,16050.757329662767,"Time-based exit (2 bars, optimal=2)",11011.699931176874,2025-07-19T08:00:00+02:00,2025-07-19T16:00:00+02:00,0.1453,0.1404
TNSR/USDC,Short,jma,4h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-07-22T02:00:00+02:00,0.157,2025-07-22T10:00:00+02:00,0.1529,1605.0757329662767,3.2101514659325536,38.70583901280453,16089.463168675571,"Time-based exit (2 bars, optimal=2)",10223.412311887112,2025-07-22T02:00:00+02:00,2025-07-22T10:00:00+02:00,0.157,0.1529
TNSR/USDC,Short,jma,4h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-07-22T10:00:00+02:00,0.1529,2025-07-23T07:00:00+02:00,0.1604,1608.946316867557,3.217892633735114,-82.13939280709447,16007.323775868477,Trend flip,10522.866689781275,2025-07-22T10:00:00+02:00,2025-07-23T07:00:00+02:00,0.1529,0.1604
TNSR/USDC,Short,jma,4h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-07-23T08:00:00+02:00,0.1574,2025-07-23T16:00:00+02:00,0.1486,1600.7323775868476,3.201464755173695,86.29310273379875,16093.616878602275,"Time-based exit (2 bars, optimal=2)",10169.837214655956,2025-07-23T08:00:00+02:00,2025-07-23T16:00:00+02:00,0.1574,0.1486
TNSR/USDC,Short,jma,4h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-07-23T18:00:00+02:00,0.1469,2025-07-24T02:00:00+02:00,0.1446,1609.3616878602274,3.218723375720455,21.97890686307136,16115.595785465346,"Time-based exit (2 bars, optimal=2)",10955.49140817037,2025-07-23T18:00:00+02:00,2025-07-24T02:00:00+02:00,0.1469,0.1446
TNSR/USDC,Short,jma,4h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-07-24T06:00:00+02:00,0.1417,2025-07-24T14:00:00+02:00,0.1388,1611.5595785465346,3.2231191570930693,29.7586929655952,16145.354478430942,"Time-based exit (2 bars, optimal=2)",11373.03866299601,2025-07-24T06:00:00+02:00,2025-07-24T14:00:00+02:00,0.1417,0.1388
TNSR/USDC,Short,jma,4h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-07-24T15:00:00+02:00,0.1376,2025-07-25T01:00:00+02:00,0.1386,1614.535447843094,3.229070895686188,-14.962613394545894,16130.391865036396,"Time-based exit (2 bars, optimal=2)",11733.542498859695,2025-07-24T15:00:00+02:00,2025-07-25T01:00:00+02:00,0.1376,0.1386
TNSR/USDC,Short,jma,4h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-07-25T07:00:00+02:00,0.1358,2025-07-25T18:00:00+02:00,0.1393,1613.0391865036395,3.226078373007279,-44.79925328289493,16085.5926117535,Trend flip,11878.049974253605,2025-07-25T07:00:00+02:00,2025-07-25T18:00:00+02:00,0.1358,0.1393
TNSR/USDC,Short,jma,4h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-07-26T22:00:00+02:00,0.1441,2025-07-27T11:00:00+02:00,0.1451,1608.55926117535,3.2171185223507,-14.379917003789641,16071.21269474971,"Time-based exit (3 bars, optimal=2)",11162.798481438931,2025-07-26T22:00:00+02:00,2025-07-27T11:00:00+02:00,0.1441,0.1451
TNSR/USDC,Short,jma,4h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-07-29T12:00:00+02:00,0.1392,2025-07-29T20:00:00+02:00,0.1359,1607.121269474971,3.214242538949942,34.88561514256874,16106.098309892279,"Time-based exit (2 bars, optimal=2)",11545.411418642034,2025-07-29T12:00:00+02:00,2025-07-29T20:00:00+02:00,0.1392,0.1359
